,model,level,threshold,method,accuracy,f1_score,recall,precision
0,full_models2,alt,0.5,1,0.0992275698158051,0.1805405405405405,1.0,0.0992275698158051
1,full_models2,alt,0.55,1,0.0992275698158051,0.1805405405405405,1.0,0.0992275698158051
2,full_models2,alt,0.6000000000000001,1,0.1092097445038621,0.1805859204197638,0.9892215568862276,0.0993624443642487
3,full_models2,alt,0.6500000000000001,1,0.2939393939393939,0.181216840074416,0.7874251497005988,0.102390407225726
4,full_models2,alt,0.7000000000000002,1,0.7650029708853239,0.1995547460028334,0.2952095808383233,0.1507184347294405
5,full_models2,alt,0.7500000000000002,1,0.8970291146761735,0.0377568017767906,0.0203592814371257,0.2595419847328244
6,full_models2,alt,0.8000000000000003,1,0.9008318478906714,0.0035820895522388,0.0017964071856287,0.6
7,full_models2,alt,0.8500000000000003,1,0.9007724301841948,0.0,0.0,0.0
8,full_models2,alt,0.9000000000000004,1,0.9007724301841948,0.0,0.0,0.0
9,full_models2,level3,0.5,1,0.1122994652406417,0.1803818301514154,0.9844311377245508,0.0992873535451141
10,full_models2,level3,0.55,1,0.15941770647653,0.1794559480308566,0.9263473053892216,0.0993513582942649
11,full_models2,level3,0.6000000000000001,1,0.2845513963161022,0.1776958273577819,0.7790419161676647,0.1002852077391505
12,full_models2,level3,0.6500000000000001,1,0.4915626856803327,0.1780808759965421,0.5550898203592814,0.1060519391373984
13,full_models2,level3,0.7000000000000002,1,0.6948306595365419,0.1673151750972762,0.3089820359281437,0.1147176522899066
14,full_models2,level3,0.7500000000000002,1,0.8269162210338681,0.1233824857056876,0.122754491017964,0.1240169388989715
15,full_models2,level3,0.8000000000000003,1,0.8825906120023768,0.0509125840537944,0.0317365269461077,0.1286407766990291
16,full_models2,level3,0.8500000000000003,1,0.898989898989899,0.015063731170336,0.0077844311377245,0.2321428571428571
17,full_models2,level3,0.9000000000000004,1,0.9006535947712418,0.001194743130227,0.0005988023952095,0.25
18,full_models2,level1,0.5,1,0.0992275698158051,0.1805405405405405,1.0,0.0992275698158051
19,full_models2,level1,0.55,1,0.0992275698158051,0.1805405405405405,1.0,0.0992275698158051
20,full_models2,level1,0.6000000000000001,1,0.0992275698158051,0.1805405405405405,1.0,0.0992275698158051
21,full_models2,level1,0.6500000000000001,1,0.0992275698158051,0.1805405405405405,1.0,0.0992275698158051
22,full_models2,level1,0.7000000000000002,1,0.0992275698158051,0.1805405405405405,1.0,0.0992275698158051
23,full_models2,level1,0.7500000000000002,1,0.1160427807486631,0.1788375558867362,0.9700598802395208,0.0984982063598224
24,full_models2,level1,0.8000000000000003,1,0.6538324420677362,0.161726618705036,0.3365269461077844,0.1064393939393939
25,full_models2,level1,0.8500000000000003,1,0.9003565062388592,0.0129487934078869,0.0065868263473053,0.3793103448275862
26,full_models2,level1,0.9000000000000004,1,0.9007724301841948,0.0,0.0,0.0
27,job_models,level1,0.5,1,0.0992275698158051,0.1805405405405405,1.0,0.0992275698158051
28,job_models,level1,0.55,1,0.0992275698158051,0.1805405405405405,1.0,0.0992275698158051
29,job_models,level1,0.6000000000000001,1,0.0992275698158051,0.1805405405405405,1.0,0.0992275698158051
30,job_models,level1,0.6500000000000001,1,0.1001782531194295,0.1801645734084019,0.9964071856287424,0.0990358290679681
31,job_models,level1,0.7000000000000002,1,0.1260843731431966,0.1789661717092776,0.959880239520958,0.0986825904949519
32,job_models,level1,0.7500000000000002,1,0.5640522875816993,0.1766356188979912,0.4712574850299401,0.1086866454909542
33,job_models,level1,0.8000000000000003,1,0.8986928104575164,0.0081442699243746,0.004191616766467,0.1428571428571428
34,job_models,level1,0.8500000000000003,1,0.9008318478906714,0.0011968880909634,0.0005988023952095,1.0
35,job_models,level1,0.9000000000000004,1,0.9007724301841948,0.0,0.0,0.0
36,concept_models,level3,0.5,1,0.210873440285205,0.1786133960047003,0.8646706586826347,0.0995930753845092
37,concept_models,level3,0.55,1,0.3434343434343434,0.1717883375805726,0.6862275449101797,0.0981836874571624
38,concept_models,level3,0.6000000000000001,1,0.5371954842543077,0.1634625711524004,0.455688622754491,0.0995942939405837
39,concept_models,level3,0.6500000000000001,1,0.6980392156862745,0.1597222222222222,0.2892215568862275,0.1103243490178163
40,concept_models,level3,0.7000000000000002,1,0.8190136660724896,0.1341671404206935,0.141317365269461,0.1277056277056277
41,concept_models,level3,0.7500000000000002,1,0.8789067142008319,0.0677035681610247,0.0443113772455089,0.1434108527131783
42,concept_models,level3,0.8000000000000003,1,0.8977421271538919,0.0304225352112676,0.0161676646706586,0.2571428571428571
43,concept_models,level3,0.8500000000000003,1,0.9009506833036244,0.0083283759666864,0.004191616766467,0.6363636363636364
44,concept_models,level3,0.9000000000000004,1,0.9008318478906714,0.0011968880909634,0.0005988023952095,1.0
