,threshold,fpr,tpr
0,0.0,1.0,1.0
1,0.01,1.0,1.0
2,0.02,1.0,1.0
3,0.03,1.0,1.0
4,0.04,1.0,1.0
5,0.05,1.0,1.0
6,0.06,1.0,1.0
7,0.07,1.0,1.0
8,0.08,1.0,1.0
9,0.09,1.0,1.0
10,0.1,1.0,1.0
11,0.11,1.0,1.0
12,0.12,1.0,1.0
13,0.13,1.0,1.0
14,0.14,1.0,1.0
15,0.15,1.0,1.0
16,0.16,1.0,1.0
17,0.17,1.0,1.0
18,0.18,1.0,1.0
19,0.19,1.0,1.0
20,0.2,1.0,1.0
21,0.21,1.0,1.0
22,0.22,1.0,1.0
23,0.23,1.0,1.0
24,0.24,1.0,1.0
25,0.25,1.0,1.0
26,0.26,1.0,1.0
27,0.27,1.0,1.0
28,0.28,1.0,1.0
29,0.29,1.0,1.0
30,0.3,1.0,1.0
31,0.31,1.0,1.0
32,0.32,1.0,1.0
33,0.33,1.0,1.0
34,0.34,1.0,1.0
35,0.35000000000000003,1.0,1.0
36,0.36,1.0,1.0
37,0.37,1.0,1.0
38,0.38,1.0,1.0
39,0.39,1.0,1.0
40,0.4,1.0,1.0
41,0.41000000000000003,1.0,1.0
42,0.42,1.0,1.0
43,0.43,1.0,1.0
44,0.44,1.0,1.0
45,0.45,1.0,1.0
46,0.46,1.0,1.0
47,0.47000000000000003,1.0,1.0
48,0.48,1.0,1.0
49,0.49,1.0,1.0
50,0.5,1.0,1.0
51,0.51,1.0,1.0
52,0.52,1.0,1.0
53,0.53,0.9977777777777778,1.0
54,0.54,0.9638888888888889,1.0
55,0.55,0.8622222222222222,0.995
56,0.56,0.7161111111111111,0.965
57,0.5700000000000001,0.5672222222222222,0.93
58,0.58,0.42333333333333334,0.9
59,0.59,0.2761111111111111,0.855
60,0.6,0.18833333333333332,0.755
61,0.61,0.11833333333333333,0.6
62,0.62,0.07,0.445
63,0.63,0.043333333333333335,0.33
64,0.64,0.02388888888888889,0.205
65,0.65,0.014444444444444444,0.125
66,0.66,0.008333333333333333,0.07
67,0.67,0.005,0.045
68,0.68,0.0038888888888888888,0.025
69,0.6900000000000001,0.0016666666666666668,0.005
70,0.7000000000000001,0.0011111111111111111,0.005
71,0.71,0.0005555555555555556,0.005
72,0.72,0.0,0.005
73,0.73,0.0,0.0
74,0.74,0.0,0.0
75,0.75,0.0,0.0
76,0.76,0.0,0.0
77,0.77,0.0,0.0
78,0.78,0.0,0.0
79,0.79,0.0,0.0
80,0.8,0.0,0.0
81,0.81,0.0,0.0
82,0.8200000000000001,0.0,0.0
83,0.8300000000000001,0.0,0.0
84,0.84,0.0,0.0
85,0.85,0.0,0.0
86,0.86,0.0,0.0
87,0.87,0.0,0.0
88,0.88,0.0,0.0
89,0.89,0.0,0.0
90,0.9,0.0,0.0
91,0.91,0.0,0.0
92,0.92,0.0,0.0
93,0.93,0.0,0.0
94,0.9400000000000001,0.0,0.0
95,0.9500000000000001,0.0,0.0
96,0.96,0.0,0.0
97,0.97,0.0,0.0
98,0.98,0.0,0.0
99,0.99,0.0,0.0
