,threshold,fpr,tpr
0,0.0,0.9994444444444445,1.0
1,0.01,0.9994444444444445,1.0
2,0.02,0.9994444444444445,1.0
3,0.03,0.9994444444444445,1.0
4,0.04,0.9994444444444445,1.0
5,0.05,0.9994444444444445,1.0
6,0.06,0.9994444444444445,1.0
7,0.07,0.9994444444444445,1.0
8,0.08,0.9994444444444445,1.0
9,0.09,0.9994444444444445,1.0
10,0.1,0.9994444444444445,1.0
11,0.11,0.9994444444444445,1.0
12,0.12,0.9994444444444445,1.0
13,0.13,0.9994444444444445,1.0
14,0.14,0.9994444444444445,1.0
15,0.15,0.9994444444444445,1.0
16,0.16,0.9994444444444445,1.0
17,0.17,0.9994444444444445,1.0
18,0.18,0.9994444444444445,1.0
19,0.19,0.9994444444444445,1.0
20,0.2,0.9994444444444445,1.0
21,0.21,0.9994444444444445,1.0
22,0.22,0.9994444444444445,1.0
23,0.23,0.9994444444444445,1.0
24,0.24,0.9994444444444445,1.0
25,0.25,0.9994444444444445,1.0
26,0.26,0.9994444444444445,1.0
27,0.27,0.9994444444444445,1.0
28,0.28,0.9994444444444445,1.0
29,0.29,0.9994444444444445,1.0
30,0.3,0.9994444444444445,1.0
31,0.31,0.9994444444444445,1.0
32,0.32,0.9994444444444445,1.0
33,0.33,0.9994444444444445,1.0
34,0.34,0.9994444444444445,1.0
35,0.35000000000000003,0.9994444444444445,1.0
36,0.36,0.9994444444444445,1.0
37,0.37,0.9994444444444445,1.0
38,0.38,0.9994444444444445,1.0
39,0.39,0.9994444444444445,1.0
40,0.4,0.9994444444444445,1.0
41,0.41000000000000003,0.9994444444444445,1.0
42,0.42,0.9994444444444445,1.0
43,0.43,0.9994444444444445,1.0
44,0.44,0.9994444444444445,1.0
45,0.45,0.9994444444444445,1.0
46,0.46,0.9994444444444445,1.0
47,0.47000000000000003,0.9994444444444445,1.0
48,0.48,0.9994444444444445,1.0
49,0.49,0.9994444444444445,1.0
50,0.5,0.9994444444444445,1.0
51,0.51,0.9994444444444445,1.0
52,0.52,0.9994444444444445,1.0
53,0.53,0.9988888888888889,1.0
54,0.54,0.9944444444444445,0.995
55,0.55,0.9827777777777778,0.97
56,0.56,0.96,0.97
57,0.5700000000000001,0.9094444444444445,0.96
58,0.58,0.8372222222222222,0.94
59,0.59,0.7627777777777778,0.925
60,0.6,0.6838888888888889,0.91
61,0.61,0.6038888888888889,0.87
62,0.62,0.5172222222222222,0.81
63,0.63,0.43166666666666664,0.76
64,0.64,0.3638888888888889,0.705
65,0.65,0.29333333333333333,0.625
66,0.66,0.2311111111111111,0.555
67,0.67,0.18333333333333332,0.49
68,0.68,0.14277777777777778,0.44
69,0.6900000000000001,0.10777777777777778,0.39
70,0.7000000000000001,0.08444444444444445,0.355
71,0.71,0.06,0.31
72,0.72,0.04833333333333333,0.25
73,0.73,0.03333333333333333,0.21
74,0.74,0.023333333333333334,0.13
75,0.75,0.016666666666666666,0.09
76,0.76,0.008888888888888889,0.06
77,0.77,0.005,0.05
78,0.78,0.005,0.04
79,0.79,0.0033333333333333335,0.03
80,0.8,0.0011111111111111111,0.025
81,0.81,0.0011111111111111111,0.015
82,0.8200000000000001,0.0005555555555555556,0.015
83,0.8300000000000001,0.0005555555555555556,0.005
84,0.84,0.0005555555555555556,0.0
85,0.85,0.0,0.0
86,0.86,0.0,0.0
87,0.87,0.0,0.0
88,0.88,0.0,0.0
89,0.89,0.0,0.0
90,0.9,0.0,0.0
91,0.91,0.0,0.0
92,0.92,0.0,0.0
93,0.93,0.0,0.0
94,0.9400000000000001,0.0,0.0
95,0.9500000000000001,0.0,0.0
96,0.96,0.0,0.0
97,0.97,0.0,0.0
98,0.98,0.0,0.0
99,0.99,0.0,0.0
