,job_label,skills,file_label
0,Data Science,"[{'skill': 'Data Structure', 'score': 80}, {'skill': 'C', 'score': 80}, {'skill': 'Data Analysis', 'score': 80}, {'skill': 'Python', 'score': 80}, {'skill': 'Core Java', 'score': 80}, {'skill': 'Database Management', 'score': 80}]",none
1,Data Science,"[{'skill': 'Python', 'score': 80}, {'skill': 'Statsmodels', 'score': 80}, {'skill': 'AWS', 'score': 20}, {'skill': 'Machine learning', 'score': 80}, {'skill': 'Sklearn', 'score': 80}, {'skill': 'Scipy', 'score': 20}, {'skill': 'Keras', 'score': 20}, {'skill': 'ARIMA', 'score': 80}, {'skill': 'SARIMAX', 'score': 80}, {'skill': 'Holt-winter', 'score': 80}, {'skill': 'Prophet', 'score': 80}]",none
2,Data Science,"[{'skill': 'Machine Learning', 'score': 100}, {'skill': 'Deep Learning', 'score': 100}, {'skill': 'NLP', 'score': 100}, {'skill': 'Python', 'score': 100}, {'skill': 'SQL', 'score': 80}, {'skill': 'Web Scraping', 'score': 80}, {'skill': 'Text Classification', 'score': 80}, {'skill': 'Recurrent Neural Networks', 'score': 80}, {'skill': 'Pandas', 'score': 80}, {'skill': 'Scikit-learn', 'score': 80}, {'skill': 'Tensor Flow', 'score': 80}, {'skill': 'Numpy', 'score': 80}, {'skill': 'Matplotlib', 'score': 80}, {'skill': 'NLTK', 'score': 80}, {'skill': 'Sentiment Analysis', 'score': 80}, {'skill': 'Web Crawling', 'score': 80}, {'skill': 'Selenium Web Driver', 'score': 80}]",none
3,Data Science,"[{'skill': 'Numpy', 'score': 80}, {'skill': 'Machine Learning', 'score': 100}, {'skill': 'Tensorflow', 'score': 80}, {'skill': 'Scikit', 'score': 80}, {'skill': 'Python', 'score': 100}, {'skill': 'GCP', 'score': 80}, {'skill': 'Pandas', 'score': 80}, {'skill': 'Neural Network', 'score': 80}, {'skill': 'SQL', 'score': 80}, {'skill': 'Oracle', 'score': 80}, {'skill': 'C++', 'score': 80}, {'skill': 'Java', 'score': 80}, {'skill': 'Google Cloud', 'score': 80}, {'skill': 'Linux', 'score': 80}, {'skill': 'Ubuntu', 'score': 80}]",none
4,Data Science,"[{'skill': 'Data Structure', 'score': 80}, {'skill': 'C', 'score': 80}, {'skill': 'Data Analysis', 'score': 80}, {'skill': 'Python', 'score': 80}, {'skill': 'Core Java', 'score': 80}, {'skill': 'Database Management', 'score': 80}]",none
5,Data Science,"[{'skill': 'C Basics', 'score': 80}, {'skill': 'Python', 'score': 80}, {'skill': 'MATLAB', 'score': 80}, {'skill': 'Data Science', 'score': 80}, {'skill': 'Machine Learning', 'score': 80}, {'skill': 'HTML', 'score': 20}, {'skill': 'Microsoft Word', 'score': 20}, {'skill': 'Microsoft Excel', 'score': 20}, {'skill': 'Microsoft Powerpoint', 'score': 20}]",none
6,Data Science,"[{'skill': 'Machine Learning', 'score': 100}, {'skill': 'Deep Learning', 'score': 100}, {'skill': 'NLP', 'score': 100}, {'skill': 'Python', 'score': 100}, {'skill': 'SQL', 'score': 100}, {'skill': 'Web Scraping', 'score': 80}, {'skill': 'HTML', 'score': 80}, {'skill': 'CSS', 'score': 80}]",none
7,Data Science,"[{'skill': 'Data Analysis', 'score': 80}, {'skill': 'Excel', 'score': 80}, {'skill': 'Machine Learning', 'score': 80}, {'skill': 'Python', 'score': 80}, {'skill': 'Sql', 'score': 80}]",none
8,Data Science,"[{'skill': 'Python', 'score': 100}, {'skill': 'Javascript', 'score': 80}, {'skill': 'JQuery', 'score': 80}, {'skill': 'Sql', 'score': 80}, {'skill': 'Machine learning', 'score': 100}, {'skill': 'Database Visualizations', 'score': 80}, {'skill': 'HTML', 'score': 80}, {'skill': 'CSS', 'score': 80}, {'skill': 'Angular 6', 'score': 20}, {'skill': 'Python Flask', 'score': 80}, {'skill': 'Git', 'score': 20}, {'skill': 'Docker', 'score': 20}, {'skill': 'Open CV', 'score': 20}]",none
9,Data Science,"[{'skill': 'Data and Quantitative Analysis', 'score': 80}, {'skill': 'Decision Analytics', 'score': 80}, {'skill': 'Predictive Modeling', 'score': 80}, {'skill': 'Data-Driven Personalization', 'score': 80}, {'skill': 'KPI Dashboards', 'score': 80}, {'skill': 'Big Data Queries and Interpretation', 'score': 80}, {'skill': 'Data Mining and Visualization Tools', 'score': 80}, {'skill': 'Machine Learning Algorithms', 'score': 80}, {'skill': 'Business Intelligence (BI)', 'score': 80}, {'skill': 'Data Analysis', 'score': 80}, {'skill': 'Algorithms', 'score': 80}, {'skill': 'BI', 'score': 80}, {'skill': 'Machine Learning', 'score': 100}, {'skill': 'Visualization', 'score': 80}, {'skill': 'Python', 'score': 80}, {'skill': 'Tableau', 'score': 80}, {'skill': 'Spark', 'score': 80}, {'skill': 'Web scraping', 'score': 20}, {'skill': 'Hive', 'score': 20}, {'skill': 'PySpark', 'score': 80}, {'skill': 'Microsoft Face API', 'score': 20}, {'skill': 'Open CV', 'score': 20}, {'skill': 'R', 'score': 20}, {'skill': 'NLP', 'score': 20}, {'skill': 'Apache Spark', 'score': 20}]",none
