,title,category,id,job_description
0,Junior Trader - Crypto & Blockchain,Blockchain,1adb8bca36d59253,"

Company Overview
 CoinUnited is a leading crypto platform, offering a sophisticated array of services for buying and selling various cryptocurrencies. Our platform is designed to provide user-friendly interfaces and advanced features, ensuring seamless trading experiences. We offer a diverse range of trading options, including over-the-counter (OTC) trading and integration with Bitcoin ATMs, which cater to a wide spectrum of trading needs and preferences.
 In addition to our focus on crypto trading, we also boast an exquisite NFT collection valued at over US$ 300 million, underscoring our presence in the evolving digital asset market. At the core of our operations is a strong commitment to security, with the deployment of the latest technology and protocols to safeguard our clients' transactions and assets.
 Responsibilities

 Operate and monitor the trading platform.
 Monitor clients trading and positions.
 Bookkeeping in an accurate and timely manner.
 Monitor global markets news and to collate relevant information and data.
 Communicate with different teams regarding systems and risk management issues.

 Requirements

 Bachelor's degree in Finance, Mathematics, Engineering, Computer Sciences or related disciplines.
 Willing to work on flexible hours, shift and public holidays.
 Able to multitask and work under pressure.
 Strong sense of responsibility and detail-oriented.
 Good understanding of Crypto products is preferred.
 Good Mathematical / Excel / VBA is preferred.
 Fresh graduates will also be considered.

 We offer

 Competitive salary and benefits package.
 A fast-paced and challenging work environment.
 Opportunities for growth and advancement within the company.
 A dynamic and passionate team of individuals who are dedicated to making a difference in the world of cryptocurrency.

 Showcase Your Expertise: Bug Discovery
 In line with our dedication to excellence and innovation, we invite you to partake in a unique challenge during your application process. As you navigate our website, trading platform and app, should you come across any bugs, we encourage you to include a report of these findings with your application. This might include user interface enhancements, navigation improvements, content errors, or technical glitches.
 This step is a chance for you to directly showcase your keen eye for detail, analytical acumen, and problem-solving prowess. Engaging in this challenge not only provides us with valuable insights but also significantly enhances your candidacy, giving you an edge in the selection process. It's an opportunity to make a memorable impact and stand out in our search for talent.
 Join Our Team
 If you're passionate about the crypto industry and looking to join a dynamic, forward-thinking team, CoinUnited is the perfect place for you. We're always looking for talented individuals to help shape the future of blockchain and web3.5.
 Interested candidates, please apply at coinunited.io/en/careers.


"
1,Operation Officer - Crypto & Blockchain,Blockchain,058df7615d1d14ba,"

Company Overview
 CoinUnited is a leading crypto platform, offering a sophisticated array of services for buying and selling various cryptocurrencies. Our platform is designed to provide user-friendly interfaces and advanced features, ensuring seamless trading experiences. We offer a diverse range of trading options, including over-the-counter (OTC) trading and integration with Bitcoin ATMs, which cater to a wide spectrum of trading needs and preferences.
 In addition to our focus on crypto trading, we also boast an exquisite NFT collection valued at over US$ 300 million, underscoring our presence in the evolving digital asset market. At the core of our operations is a strong commitment to security, with the deployment of the latest technology and protocols to safeguard our clients' transactions and assets.
 Responsibilities

 Work closely with the team lead and liaise with different parties to ensure a smooth operation process under the company strategy plans and procedures.
 Assist in providing effective solutions and recommendations on business operation.
 Integrate data from various sources and compile analytic reports for the management.
 Assist in ad-hoc duties as and when assigned.

 Requirements

 Bachelor Degree holder in any discipline.
 Proficient in MS Office.
 Team player with a mature working attitude.
 Strong sense in data, detail-minded, organized, meticulous and responsible.
 Good interpersonal and communication skills.

 We offer

 Competitive salary and benefits package.
 A fast-paced and challenging work environment.
 Opportunities for growth and advancement within the company.
 A dynamic and passionate team of individuals who are dedicated to making a difference in the world of cryptocurrency.

 Showcase Your Expertise: Bug Discovery
 In line with our dedication to excellence and innovation, we invite you to partake in a unique challenge during your application process. As you navigate our website, trading platform and app, should you come across any bugs, we encourage you to include a report of these findings with your application. This might include user interface enhancements, navigation improvements, content errors, or technical glitches.
 This step is a chance for you to directly showcase your keen eye for detail, analytical acumen, and problem-solving prowess. Engaging in this challenge not only provides us with valuable insights but also significantly enhances your candidacy, giving you an edge in the selection process. It's an opportunity to make a memorable impact and stand out in our search for talent.
 Join Our Team
 If you're passionate about the crypto industry and looking to join a dynamic, forward-thinking team, CoinUnited is the perfect place for you. We're always looking for talented individuals to help shape the future of blockchain and web3.0.
 Interested candidates, please apply at coinunited.io/en/careers.


"
2,React and Blockchain Developer (remote),Blockchain,69db99acb41119db,"
About us
Velvetech is an American global software development company headquartered in Chicago, IL. Velvetech has its developers strategically distributed in 10+ global technical job markets to deliver the best in class software engineering and exceptional client services.
We have 20+ years of experience in software and hardware development for clients all around the world, especially for US clients. As an official Microsoft Gold Partner, our company is listed in the top 5 software development companies in Illinois, USA.
US clients are leading trading and financial organizations, insurance companies, large healthcare associations, pharmaceutical and energy companies, equipment manufacturers, hi-tech startups, etc.
Areas of expertise are consulting, development, implementation, and support of software solutions. We implement modern backend solutions that support microservices architecture with the following technologies: NET Core, Node.js, Java, SQL Server, PostgreSQL, MongoDB, Redis, RabbitMQ. For the web UI front-end development, we opt for React, or Angular, and for mobile development — Swift, Kotlin, Java. Most of the systems are designed for cloud infrastructures like AWS, Azure, GCP, and heavily rely on Docker, Kubernetes while modern CI/CD is made using GitLab CI or TeamCity. In September 2021, Velvetech LLC received the status of the official Training Provider of the International Institute of Business Analysis. This status gives us the right to conduct regular quality trainings for Business Analysts and anyone performing BA activities regardless their job title.
Principles are based on Agile Methodology, Scrum and Kanban. Various projects coded in GitLab or GitHub are built with multiple coordinated teams, collaborating via Jira, Confluence, MS Teams, and Slack. Velvetech constantly follows the Tech trends and actively cooperates with startups in such breakthrough areas as Machine Learning, the Internet of Things, Blockchain, FPGA, and AI.
Responsibilities
Fully remote position that gives the possibility to work from the coziness of your home with many benefits, and a competitive performance-based salary. As a new team member, you will design DEX — decentralized exchange for cryptocurrency (Tokens), use PancakeSwap code, and implement integration with blockchain. Also we will offer other tasks with our client’s NFT Marketplace for selling digital art. Are you in?

Developing front-end website architecture using ready-made frameworks
Integration with blockchain
Customization for the client, branding
Staying updated with all trends in developing web applications and programming languages

Requirements
1.5+ years of experience in the following technologies:

JavaScript
Frontend / React (middle level)
1+ years experience in blockchain — including your pet projects
Ethereum Smart Contract Developer or Solidity Developer

The following will be considered as an advantage:

Experience with Truffle, Moralis
English level: Intermediate and higher

Benefits

Velvetech is in the TOP 5 development companies in Illinois, USA
You have FLEXIBLE working conditions and a COOPERATIVE environment
A COMPETITIVE and performance-based salary, fair compensation and benefits
Many CHALLENGING and exciting projects with new opportunities and learning
GROWTH opportunities, skills and competencies improvement, and professional certification
In-company TRAINING (English, Software / DevOps / Project management / Design / Business)

What we offer
Future projects as highly loaded SaaS web-based services for automating business processes in the field of medicine, insurance, finance, energy, including modules for processing large data arrays, billing subsystems, integration with external data sources, mobile applications, and IP telephony systems.
Our team
We are a friendly team of 150+ professionals where everyone is able to achieve high results and grows professionally not only due to their own knowledge and skills but also with the support of colleagues. Values that we highly appreciate are high performance, responsibility, respect, and loyalty. In order to have a highly motivated team, Velvetech invests in their people, additional education, certification, and others. You choose your career path and we are here to support you!
People work together in harmony, encouraging each other to continuously learn, progress, and pursue perfection. Our employees enjoy working as we turn challenges into advantages to share success with each other.
You have a chance to become a part of a friendly and professional team that creates robust software solutions to deliver maximum value to our international clients. Let’s fly together!
"
3,Blockchain Engineer,Blockchain,3415f42ca76fdaae,"


   At Hiro, we build developer tools that bring Web3 to Bitcoin. Our suite of tools unlocks the full potential of Bitcoin through smart contracts, digital assets, and decentralized applications. With Hiro tools, developers can test and deploy smart contracts, spin up nodes and other server-side resources for scaling, and more. Building on Bitcoin is hard. Hiro's developer tools make it easier. We’re very proud to say that Hiro won 3 Built In’s Best Places to Work awards, including Best Places to Work NYC, Best Places to Work Small Companies, and Best Paying Companies NYC!
  


   Hiro is funded and backed by more than $75 million from Union Square Ventures, Y Combinator, Lux Capital, Winklevoss Capital, Naval Ravikant, and others.
  


About the Opportunity



   Hiro is looking for a passionate and collaborative Blockchain Engineer to build and maintain developer tools integrated with the Stacks Blockchain. You'll collaborate with a team and work independently to architect and deliver feature upgrades and improvements. In this role, you will build critical features for our users. You must be comfortable working in diverse development ecosystems and have worked independently in a rapidly scaling startup. OSS experience is preferred as many of our tools leverage open source licensing.
  



What You’ll Do:


Contribute to the development, maintenance, and testing developer tools.
Subnets is under active development and our initial version is active on Testnet. As part of your role, you will be tasked with designing new features, improving the performance and reliability, and helping ensure that the Subnets can serve as a reliable, secure, and performant foundation.
Utilize advanced cryptographic algorithms and concepts to evolve the next iteration of Subnets
Implement rigorous and thorough monitoring and testing practices to meet the security and performance requirements
Design and implement blockchain supporting tools and utilities(e.g., CLI client, tools for exploring the blockchain, monitoring, benchmarking or debugging tools)
Collaborate with other teams on new product features that have a dependency on the Stacks blockchain(e.g. developer tooling, UX tooling, 3rd party integrations etc)





What We’re Looking For:



5-10 years of experience in software engineering with experience in building and shipping products.
3-5 years of hands on experience in a production environment with one or more of: public blockchains; consensus protocols; large-scale distributed systems; high availability, and real-time systems; applied cryptography; compilers; any other equivalent / adjacent technology
Experience in research
Experience working on and designing tests for long-running projects
Expertise in Rust
Experience with Cryptography
Prior experience with Blockchain is necessary
 





We’d Also Like to See:


Experience testing distributed systems for behaviors in the presence of faults, network partitions, and network delays
Working knowledge of the limitations and complexities involved in peer-to-peer systems
Working knowledge of programming language interpreters, compilers, and static analysis
Experience building highly secure software and shipping new products




We’d love to hear from you even if you don’t have experience or interest in every bullet. There’s no perfect candidate and we want to find the right fit, even if it’s different than we imagine. We especially would like to meet underrepresented/underestimated candidates.




What we’ll offer:


Salary Range (regardless of location, benchmarked annually) $160,000 - $200,000. Company equity and Stacks (STX) tokens
    -STX is the native cryptocurrency of the Stacks network
$500/mo co-working space reimbursement
$1,200/yr budget for learning and development stipend
$1000/yr of charity donation matching to an organization of your choosing
Daily Lunch Reimbursement(even if you’re remote!)
Open Vacation Policy, take the days you need
Family-Friendly Health Benefits
Free Life and Disability Insurance
Health and dependent care(FSA)
Up to 16 weeks of paid parental leave
Pre-tax commuter benefits
401k with 3% match



"
4,Blockchain Developer,Blockchain,5728956f10fb2e48,"Experince: 2+ Years 


02

Software Sales
Experince: 2+ Years Apply Now
"
5,Web3 Associate / NFT Specialist,Blockchain,5f0663241b28dfe7,"
All Fleet Inc is seeking a Web3 Associate to help accelerate its activities in the Web3, NFT, and digital communities space. You will be working in coordination with functional areas including curatorial, membership, retail, learning and engagement, social media, and technology.
Responsibilities:

Act as the key liaison between curators and artists for projects involving new digital communities, NFTs, and Web3.
 Act as a co-lead in initiating, coordinating, and executing a range of initiatives in the Web3 space, including but not limited to:


 Pilots in membership and retail involving NFTs.
 Projects with artists and platforms involving blockchain technology and NFTs.
 Further exploration of Discord as a medium of engagement.
 Development of wallet(s) with an appropriate system of institutional checks and balances.


 Conduct research and identifies potential pilots and partnerships in the evolving area of Web3, NFTs, and crypto-communities
 Maintain an up-to-date understanding of trends and changes in this rapidly evolving space through the aforementioned research and through collaboration with internal teams (such as investments) and external experts.
 Provide administrative support to Web3 and NFT working group.
 Manage the Web3 and NFT working groupâ€™s relationships with external thought leaders, individually and as a council / brain trust.

Requirements:

Relevant experience in the field
 Knowledgeable and self-assured in using contemporary media.
 Technologically up-to-date and highly conversant with NFTs, cryptocurrencies, DeFi, Web3, and related areas
 Strong writing, communicating, presentation, research, and organizational skills.
 Enthusiasm in working with a team, and ability to manage more than one project at a time and to meet deadlines.
 Entrepreneurial mindset with bias towards experimentation and execution of ideas.
 Knowledge of media art, generative art, and digital art highly desired but not a requirement.

We are looking for candidates with diverse skill sets (including operations coordination, public relations and marketing, customer support, content production, etc), who are enthusiastic about the NFT industry and hands-on experience with cryptocurrency, NFT, blockchain, and other related technologies.
Great opportunity to build a career in the NFT industry. Full-time / part-time / internship
"
6,"Blockchain Protocol Specialist, POKT (a must)",Blockchain,f0e8cd8838239586,"



   BlockSpaces (blockspaces.io) is looking for a Blockchain Protocol Specialist for an exciting opportunity within our rapidly growing company. As a Blockchain Protocol Specialist, you will be responsible for researching and evaluating new blockchain protocols that we are looking to support as well as possess knowledge of the protocols we currently support.
  


Description



Job Description

 Position: Blockchain Protocol Specialist
    


 Location: 100% Remote, but must be US based and preference given to Florida residents.
    


 Compensation: Salary, Health insurance, Flexible Work Schedule
    


 BlockSpaces (blockspaces.io) is looking for a 
     Blockchain Protocol Specialist for an exciting opportunity within our rapidly growing company. As a Blockchain Protocol Specialist, you will be responsible for researching and evaluating new blockchain protocols that we are looking to support as well as possess knowledge of the protocols we currently support. The Blockchain Protocol Specialist will employ this knowledge in conjunction with our platform engineering team to define deployment, monitoring, patching and security processes as well as post deployment support and remediation of the protocols.
    

      BlockSpaces recognizes your academic credentials, however we do not make hiring decisions solely based on your educational background. If you have the necessary skills, qualifications, work experience, and are excited about working for a startup in the fast paced blockchain industry, we want to talk to you!
    


 Responsibilities:


Be the go-to person for information on protocols
Maintain up-to-date knowledge of the protocols, including network updates, important details, development, etc.
Possess a strong technical understanding of the protocols we support/will support; use this knowledge to keep the internal teams informed
Drive BlockSpaces' community engagement with the protocol teams and community; involved in various communication channels
Write content related to various protocol insights, infrastructure, trends, etc.
Performs other duties and responsibilities as assigned



 Qualifications:


Education: Bachelor’s Degree in Computer Science, Software Development, and/or Information Systems or equivalent experience
Performs Root Cause Analysis on incidents, developing and implementing novel technical solutions to prevent repeat occurrences.
2+ years hands-on enterprise Linux/UNIX systems at scale (advanced level preferred), preferably Debian and RHEL-based distributions
Proficiency in at least one common scripting language for rapid prototyping
Experience using nginx and other reverse proxies to secure internet-facing services
Become embedded in specific blockchain technology communities, building expertise to become a trusted SME in those areas.
Experience with publishing articles, blog posts, content on blockchains and network infrastructure.
Must be extremely organized and detail-oriented.
Must be adept at problem-solving, including being able to identify issues and resolve programs in a timely manner.
Possesses an exceptional work ethic and strong interpersonal skills.
Strong verbal and written communication skills, including presentation skills.
Ability to effectively read and interpret information, present numerical data in a resourceful manner, and skillfully gather and analyze information.
Able to prioritize work, pivot as necessary and meet deadlines.



 BlockSpaces Team Member Expectations: 


Team-focused attitude with a tenacious desire to be part of the Core team in a fast-moving start-up culture in an incredibly fast-moving industry. 
Highly driven and self-motivated voracious learner; absorb new information like a sponge and are constantly challenging yourself. 
Think like an Entrepreneur, bring new ideas, new technologies, new perspectives to create innovative solutions.
Flexible and adaptable attitude, disciplined to manage multiple responsibilities and adjust to varied environments in a cross-functional capacity.
Ability to work both collaboratively and independently with a team-first attitude.
Strong analytical and critical thinking skills with ability to visualize and apply emerging concepts to today’s business problems.
Effective communication skills in order to work with engineers and other personnel. 
Desire to be a future technology leader; dynamic individuals energized by fast paced personal and professional growth.
If you do not have hands-on experience with blockchain, you MUST be passionately interested in and committed to learning the complex world of distributed/decentralized systems and blockchain protocols. 




Why BlockSpaces? 


Flexible Work Schedule - You do you, just meet your targets and our expectations
Supportive, collaborative, distributed team environment that supports remote employees
Long-term prospects for a professional career in a high growth company
Early employee stock option plan in a growing business 
Flexible & Fun work culture
Be part of a community-oriented organization
Best in class technology tools to empower you to do your best work
Support for professional development and continuous learning
Company-sponsored team-bonding activities and team celebrations
Employee and customer referral bonuses
Building on the cutting edge of emerging technologies

 Contact:

      Main Office: 802 E Whiting St, Tampa, FL 33602
    

      Phone: 813-500-8585
    

      careers@blockspaces.io
     







Salary
$80,000 - $120,000 per year

"
7,Blockchain consultants,Blockchain,c789d962c3fca97b,"


Minimum of 5 years of experience in development of peer-to-peer applications with a strong knowledge of Blockchain technology and concepts.
Hands on experience/knowledge in Bitcoin, Hyperledger, Ethereum, Distributed Ledger, Smart Contracts and expert in GoLang/Solidity/Serpent
Proficient in building REST services in Nodejs/Java,
Background in distributed algorithms.
Demonstrate experience of leading a manufacturing function with a proven track record in strategic manufacturing leadership delivering effective manufacturing strategies, policies, procedures and systems
Contribute to Architecture, Design, and Implementation of a Blockchain environment including but not limited to the consensus layer, distributed ledger, and smart contracts layer.
Build rapid prototypes and work on fast paced projects.
Take existing prototypes to production quality code to create new products and offerings.
Experience in implementing real distributed systems.
Experience with byzantine fault tolerant state machine replication or similar technologies is desired.
Must be capable of researching alternatives and making architectural/design/business decisions independently.
Good in Java, PL/SQL, MySQL, C++.


"
8,CoinUnited.io Global Management Trainee Programme - Crypto & Blockchain,Blockchain,cd69a8688a7fb769,"

Company Overview
 CoinUnited is a leading crypto platform, offering a sophisticated array of services for buying and selling various cryptocurrencies. Our platform is designed to provide user-friendly interfaces and advanced features, ensuring seamless trading experiences. We offer a diverse range of trading options, including over-the-counter (OTC) trading and integration with Bitcoin ATMs, which cater to a wide spectrum of trading needs and preferences.
 In addition to our focus on crypto trading, we also boast an exquisite NFT collection valued at over US$ 300 million, underscoring our presence in the evolving digital asset market. At the core of our operations is a strong commitment to security, with the deployment of the latest technology and protocols to safeguard our clients' transactions and assets.
 Responsibilities

 To rotate and attach to different functional teams according to individual background (Marketing, Customer Services, Finance, Risk Management, IT, Product Development, Business Development).
 To support senior management in ad-hoc projects such as marketing, product development, technical projects.
 To support the continuous improvement on key operation & development processes which guided by Team Leads.
 To research and report on market analysis comprehensively.

 Requirements

 Bachelor Degree holder in any discipline.
 Detail-oriented candidate able to work closely with and communicate effectively with senior management.
 Keen to learn, systematic and independent.
 Self-motivated, hard-working & positive mindset.
 Good PC skills including Word and Excel.

 We offer

 Highly Competitive Packages including basic salaries, discretionary bonus and other benefits e.g. Performance bonus, Referral bonus, Fitness facilities.
 Be a part of the future of finance technology and no.1 in the industry.
 Young, Fast moving and Challenging work environment.
 Great career development for growing beyond your role. Flexible working location across our global offices, including Hong Kong, Taipei, Singapore, Tokyo, Seoul, London, Frankfurt, Sydney, Melbourne, Vancouver, Los Angeles, New York etc. 
  
 Showcase Your Expertise: Bug Discovery
 In line with our dedication to excellence and innovation, we invite you to partake in a unique challenge during your application process. As you navigate our website, trading platform and app, should you come across any bugs, we encourage you to include a report of these findings with your application. This might include user interface enhancements, navigation improvements, content errors, or technical glitches.
 This step is a chance for you to directly showcase your keen eye for detail, analytical acumen, and problem-solving prowess. Engaging in this challenge not only provides us with valuable insights but also significantly enhances your candidacy, giving you an edge in the selection process. It's an opportunity to make a memorable impact and stand out in our search for talent.
 Join Our Team
 If you're passionate about the crypto industry and looking to join a dynamic, forward-thinking team, CoinUnited is the perfect place for you. We're always looking for talented individuals to help shape the future of blockchain and web3.7.
 Interested candidates, please apply at coinunited.io/en/careers.


"
9,"Blockchain Operations, Technical Analyst",Blockchain,09501b41884c9a32,"


About Us


    Chainlink Labs is the primary contributing developer of Chainlink, the decentralized computing platform powering the verifiable web. Chainlink is the industry-standard platform for providing access to real-world data, offchain computation, and secure cross-chain interoperability across any blockchain. Chainlink Labs helps power verifiable applications for banking, DeFi, global trade, and gaming by collaborating with some of the world’s largest financial institutions, notably Swift, DTCC, and ANZ. Chainlink Labs also works with top Web3 teams, including Aave, Compound, GMX, Maker, and Synthetix. Chainlink Labs was ranked in Newsweek’s 100 Most Loved Workplaces 2023 in both the United States and United Kingdom.
  


 The security Team


    The security department is the guardian of Chainlink Labs’ people and infrastructure. Its principal objective is to safeguard Chainlink Labs and its assets against potential threats from any external or internal source. This mission is accomplished through a combination of specialized security engineering, the deployment of cutting-edge technologies, forward-thinking policy development, and the training of highly skilled, security-aware personnel throughout the entire organization.
  


 As an indispensable component of the larger organization, the team seeks to promote a widely understood culture of security, safeguarding our most valuable assets while remaining agile and accessible to all employees and the community.
  


 As a Blockchain Operations - Technical Analyst, you will be responsible for auditing and facilitating the smooth release of on-chain services. You will assist in the process of gathering requirements from stakeholders, defining repeatable processes, and owning the execution of these processes. You will also be responsible for managing and participating in an on-call rotation supporting these functions. This is a critical path function for the operations and stability of the network.
  


 This role is also a career-defining opportunity, as you will be a part of a fast-growing tech company that is successfully implementing a key piece of the world’s blockchain infrastructure designed to power the digital agreements of the future.
  





 Your Impact 


Work with a team of talented blockchain ops engineers
 Work closely with our security, engineering, and finance teams to ensure operational alignment
 Review, analyze and update internal processes to increase fidelity and efficiency
 Execute on highly complex blockchain operations and related tasks
 Enforce best code practices, conduct code reviews, and ensure code quality






Requirements 


Participate in a week-long on-call rotation schedule
 Comfort and familiarity with complex engineering tools
 Proficient in understanding the Ethereum ecosystem, blockchain explorers, and smart contracts.
 Comfortable with Linux command-line operations to navigate and manage blockchain infrastructure efficiently
 Strong understanding of git version control and experience managing Github repositories






Desired Qualifications


 Software engineering degree/computer science background
 Startup experience
 Experience with Ccypto/blockchain, multisignature wallets, gnosis safes, or hardware wallets






All roles with Chainlink Labs are global and remote-based. Unless otherwise stated, we ask that you try to overlap some working hours with Eastern Standard Time (EST). We encourage you to apply regardless of your location.



 Commitment to Equal Opportunity


    Chainlink Labs is an equal opportunity employer. All qualified applicants will receive equal consideration for employment in compliance with applicable laws, regulations, or ordinances. If you need assistance or accommodation due to a disability or special need when applying for a role or in our recruitment process, please contact us at peopleops@smartcontract.com.
  


 Global Data Privacy Notice for Job Candidates and Applicants


    Information collected and processed as part of your Chainlink Labs Careers profile, and any job applications you choose to submit is subject to our Privacy Policy. By submitting your application, you are agreeing to our use and processing of your data as required.
  

"
