,cv_index,job_index,cv_label,job_label,similarity
0,none,Blockchain,Data Science,Blockchain,0.8168224891026815
1,none,Blockchain,Data Science,Blockchain,0.8053871810436248
2,none,Blockchain,Data Science,Blockchain,0.8039795423024579
3,none,Blockchain,Data Science,Blockchain,0.8672277817259664
4,none,Blockchain,Data Science,Blockchain,0.999995619058609
5,none,Blockchain,Data Science,Blockchain,0.7688400516907374
6,none,Blockchain,Data Science,Blockchain,0.8336085891723632
7,none,Blockchain,Data Science,Blockchain,0.8422060140541622
8,none,Blockchain,Data Science,Blockchain,0.8108850196003914
9,none,Blockchain,Data Science,Blockchain,0.8166004121303558
10,none,Data Science,Data Science,Data Science,0.8090679968396822
11,none,Data Science,Data Science,Data Science,0.9115430265665054
12,none,Data Science,Data Science,Data Science,0.8070457130670547
13,none,Data Science,Data Science,Data Science,0.8118379456656319
14,none,Data Science,Data Science,Data Science,0.9030560006697973
15,none,Data Science,Data Science,Data Science,0.8097864290078481
16,none,Data Science,Data Science,Data Science,0.864652747909228
17,none,Data Science,Data Science,Data Science,0.8763982752958933
18,none,Data Science,Data Science,Data Science,0.8179900546868643
19,none,Data Science,Data Science,Data Science,0.8121325969696045
20,none,DevOps Engineer,Data Science,DevOps Engineer,0.865508230527242
21,none,DevOps Engineer,Data Science,DevOps Engineer,0.8226238687833151
22,none,DevOps Engineer,Data Science,DevOps Engineer,0.8716738671064377
23,none,DevOps Engineer,Data Science,DevOps Engineer,0.8143729782766767
24,none,DevOps Engineer,Data Science,DevOps Engineer,0.8162969375650088
25,none,DevOps Engineer,Data Science,DevOps Engineer,0.8277435386180878
26,none,DevOps Engineer,Data Science,DevOps Engineer,0.8534249911705653
27,none,DevOps Engineer,Data Science,DevOps Engineer,0.8252906179428101
28,none,DevOps Engineer,Data Science,DevOps Engineer,0.8332305923104286
29,none,DevOps Engineer,Data Science,DevOps Engineer,0.8710443004965782
30,none,Electrical Engineering,Data Science,Electrical Engineering,0.9005841851234436
31,none,Electrical Engineering,Data Science,Electrical Engineering,0.8485907745361329
32,none,Electrical Engineering,Data Science,Electrical Engineering,0.8167639821767807
33,none,Electrical Engineering,Data Science,Electrical Engineering,0.833301916718483
34,none,Electrical Engineering,Data Science,Electrical Engineering,0.808141253888607
35,none,Electrical Engineering,Data Science,Electrical Engineering,0.797099137590045
36,none,Electrical Engineering,Data Science,Electrical Engineering,0.8208861475189527
37,none,Electrical Engineering,Data Science,Electrical Engineering,0.7967484167643956
38,none,Electrical Engineering,Data Science,Electrical Engineering,0.9165493512153625
39,none,Electrical Engineering,Data Science,Electrical Engineering,0.7781755328178406
40,none,Java Developer,Data Science,Java Developer,0.8472303380568822
41,none,Java Developer,Data Science,Java Developer,0.8109311569820751
42,none,Java Developer,Data Science,Java Developer,0.8139683422115114
43,none,Java Developer,Data Science,Java Developer,0.8127750555674235
44,none,Java Developer,Data Science,Java Developer,0.7876808345317841
45,none,Java Developer,Data Science,Java Developer,0.8257896850506464
46,none,Java Developer,Data Science,Java Developer,0.8606082995732626
47,none,Java Developer,Data Science,Java Developer,0.8399631989002228
48,none,Java Developer,Data Science,Java Developer,0.8677498449881872
49,none,Java Developer,Data Science,Java Developer,0.8581783423821131
50,none,Mechanical Engineer,Data Science,Mechanical Engineer,0.8062472293774287
51,none,Mechanical Engineer,Data Science,Mechanical Engineer,0.7835810323556264
52,none,Mechanical Engineer,Data Science,Mechanical Engineer,0.8419752180576324
53,none,Mechanical Engineer,Data Science,Mechanical Engineer,0.8099201422929764
54,none,Mechanical Engineer,Data Science,Mechanical Engineer,0.8564216693242391
55,none,Mechanical Engineer,Data Science,Mechanical Engineer,0.8066727604184832
